timeLinear,location,substance,value
2022-12-20 00:00:00,Source_Rod,Cd,0.04
2023-02-09 00:00:00,Source_Rod,Cd,0.04
2023-01-12 00:00:00,Source_Rod,Cr,0.04
2023-02-22 00:00:00,Source_Rod,Cr,0.04
2023-03-21 00:00:00,Source_Rod,Cr,0.04
2023-04-04 00:00:00,Source_Rod,Cd,0.04
2022-12-20 00:00:00,Sink_Intake,Cd,0.04
2023-02-09 00:00:00,Sink_Intake,Cd,0.04
2023-01-12 00:00:00,Sink_Intake,Cd,0.04
2023-02-22 00:00:00,Sink_Intake,Cr,0.04
2023-03-21 00:00:00,Sink_Intake,Cr,0.04
2023-04-04 00:00:00,Sink_Intake,Cr,0.04
2022-12-20 00:00:00,Sink_Outtake,Cd,0.04
2023-02-09 00:00:00,Sink_Outtake,Cd,0.04
2023-01-12 00:00:00,Sink_Outtake,Cd,0.04
2023-02-22 00:00:00,Sink_Outtake,Cr,0.04
2023-03-21 00:00:00,Sink_Outtake,Cr,0.04
2023-04-04 00:00:00,Sink_Outtake,Cr,0.04
