timeLinear,Location,substance,value
2024-03-01 00:00:00,S1,IM1,0.2
2024-03-01 00:00:00,S1,IM2,0.5
2024-03-01 00:00:00,S1,IM3,0.3
2024-03-07 12:00:00,S1,IM1,432
2024-03-07 12:00:00,S1,IM2,8.64
2024-03-07 12:00:00,S1,IM3,17.28
2024-03-21 12:00:00,S1,IM1,900
2024-03-21 12:00:00,S1,IM2,180
2024-03-21 12:00:00,S1,IM3,36
2024-03-28 12:00:00,S1,IM1,540
2024-03-28 12:00:00,S1,IM2,108
2024-03-28 12:00:00,S1,IM3,21.6
2024-04-07 12:00:00,S1,IM1,72
2024-04-07 12:00:00,S1,IM2,14.4
2024-04-07 12:00:00,S1,IM3,2.88
2024-04-14 12:00:00,S1,IM1,46.8
2024-04-14 12:00:00,S1,IM2,9.36
2024-04-14 12:00:00,S1,IM3,1.87
2024-04-21 12:00:00,S1,IM1,7.2
2024-04-21 12:00:00,S1,IM2,1.44
2024-04-21 12:00:00,S1,IM3,0.288
2024-04-28 12:00:00,S1,IM1,13.68
2024-04-28 12:00:00,S1,IM2,27.36
2024-04-28 12:00:00,S1,IM3,5.47
2024-05-03 12:00:00,S1,IM1,180
2024-05-03 12:00:00,S1,IM2,36
2024-05-03 12:00:00,S1,IM3,7.2
2024-05-07 12:00:00,S1,IM1,90
2024-05-07 12:00:00,S1,IM2,18
2024-05-07 12:00:00,S1,IM3,0.36
2024-05-14 12:00:00,S1,IM1,3.6
2024-05-14 12:00:00,S1,IM2,0.72
2024-05-14 12:00:00,S1,IM3,0.14
2025-05-21 12:00:00,S1,IM1,0
2025-05-21 12:00:00,S1,IM2,0
2025-05-21 12:00:00,S1,IM3,0
