,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.07438,3.01775,3.10131,3.50922,3.55756,3.4969,3.45786,3.43408,3.41435,3.40941,3.40885,3.4058,3.40989,3.41373,3.41922,3.41775,3.40757,3.3909,3.36617,3.33794,3.30877,3.27935,3.25128,3.2218,3.18981,3.15381,3.11311,3.06942,3.02371,2.98186,2.95115,2.93823,2.94516,2.97202,3.01254,3.05686,3.09869,3.13585,3.16792,3.19102,3.20486,3.21217,3.21277,3.20857,3.20179,3.1936,3.18238,3.17031,3.15764,3.15074,3.16799,3.20722,3.22762
4,3.31945,3.18724,3.45424,3.82225,3.80922,3.71355,3.69063,3.68991,3.68357,3.6878,3.6897,3.6818,3.68191,3.67909,3.67962,3.66926,3.64878,3.62241,3.58849,3.55306,3.51992,3.48886,3.4604,3.42784,3.38917,3.34584,3.29167,3.23671,3.18728,3.15008,3.13544,3.14764,3.18127,3.22833,3.27167,3.30027,3.3235,3.34612,3.36155,3.36745,3.37027,3.36793,3.35693,3.34928,3.33358,3.31686,3.3009,3.28401,3.26799,3.25866,3.27495,3.33617,3.36489
5,3.45005,3.52866,3.74201,3.91795,3.91142,3.84329,3.85507,3.86908,3.86596,3.86927,3.86778,3.8559,3.85464,3.84963,3.84727,3.83132,3.80841,3.78122,3.74742,3.71398,3.68422,3.6548,3.62823,3.59235,3.54922,3.49953,3.43396,3.37522,3.33246,3.31467,3.32899,3.36844,3.41686,3.46683,3.49438,3.4957,3.49589,3.50644,3.50958,3.5019,3.49585,3.48625,3.46557,3.45516,3.43184,3.40691,3.38658,3.36545,3.34576,3.3332,3.3496,3.42157,3.44976
6,3.45005,3.52866,3.74201,3.94211,3.95171,3.92569,3.94828,3.9568,3.95085,3.95198,3.94912,3.93913,3.94056,3.93698,3.93422,3.91859,3.90263,3.88302,3.85653,3.8321,3.80974,3.78183,3.75953,3.72375,3.68379,3.63428,3.56434,3.51187,3.48538,3.48966,3.5202,3.56348,3.60376,3.64157,3.64886,3.628,3.61204,3.61915,3.61699,3.60086,3.58989,3.5756,3.54728,3.53429,3.5046,3.47181,3.45145,3.42812,3.3997,3.36839,3.3642,3.41781,3.44976
7,,,,3.9507,3.97028,3.97183,3.98294,3.98457,3.98071,3.98172,3.97955,3.97388,3.97615,3.97343,3.9697,3.9583,3.95346,3.94421,3.92722,3.91199,3.89673,3.87284,3.86,3.82943,3.79591,3.75465,3.68455,3.64084,3.62665,3.63703,3.66365,3.69627,3.72285,3.74815,3.74225,3.70946,3.68446,3.69399,3.69069,3.67026,3.65633,3.63932,3.60555,3.58437,3.55293,3.51738,3.50094,3.47562,3.43947,3.39593,3.38077,3.4319,
8,,,,3.95281,3.97763,3.98498,3.99154,3.99222,3.99079,3.99095,3.98935,3.98697,3.9863,3.98273,3.97549,3.96625,3.97088,3.97225,3.96263,3.95253,3.9415,3.92905,3.92043,3.90064,3.87359,3.84495,3.77683,3.73602,3.72428,3.7307,3.74845,3.77009,3.78673,3.80331,3.79102,3.75286,3.71651,3.73608,3.7353,3.71416,3.69908,3.68058,3.64183,3.60978,3.5882,3.55089,3.53731,3.5102,3.46569,3.42021,3.3964,3.4319,
9,,,,3.94788,3.979,3.98782,3.99394,3.99468,3.99366,3.99337,3.99181,3.98971,3.98698,3.98084,3.96842,3.95337,3.96504,3.97831,3.97444,3.96786,3.96114,3.95457,3.94703,3.93439,3.91699,3.89144,3.82469,3.78568,3.77389,3.77621,3.78849,3.80422,3.81635,3.82719,3.81246,3.76591,3.71539,3.75395,3.75896,3.73966,3.72363,3.70359,3.65588,3.61484,3.61083,3.57091,3.56263,3.5335,3.48293,3.44122,3.4115,,
10,,,,3.94788,3.9796,3.98854,3.99526,3.99618,3.99531,3.99476,3.99296,3.99045,3.98632,3.97709,3.95894,3.93424,3.95132,3.97741,3.97699,3.97134,3.96464,3.95786,3.9488,3.93612,3.9196,3.88895,3.84726,3.80981,3.80047,3.8004,3.80936,3.82164,3.83161,3.83786,3.81827,3.75482,3.70021,3.75287,3.76977,3.75397,3.73737,3.71447,3.65609,3.61212,3.62427,3.58637,3.57951,3.54786,3.49866,3.46137,3.42744,,
