Time,Humidity,Air temperature,Cloud coverage,Solar radiation
2024-04-20 00:00:00,92,2.1,0,0
2024-04-20 01:00:00,93,1.45,0,0
2024-04-20 02:00:00,93,1.15,0,0
2024-04-20 03:00:00,93,0.90000001,0,0
2024-04-20 04:00:00,94,0.94999999,0,0
2024-04-20 05:00:00,92,1,0,0
2024-04-20 06:00:00,91,0.90000001,0,0
2024-04-20 07:00:00,90,0.79999998,0,11.79305
2024-04-20 08:00:00,89,1.3,0,48.105431
2024-04-20 09:00:00,91,1.4,0,93.486153
2024-04-20 10:00:00,82,2.4499999,0,242.64771
2024-04-20 11:00:00,63,3.55,0,306.2543
2024-04-20 12:00:00,62,5.3499999,0,397.931
2024-04-20 13:00:00,62,4.3499999,0,175.5955
2024-04-20 14:00:00,70,5.2,0,381.30991
2024-04-20 15:00:00,63,5.0999999,0,318.57349
2024-04-20 16:00:00,50,5.8499999,0,433.22049
2024-04-20 17:00:00,60,5.75,0,255.58521
2024-04-20 18:00:00,79,4.05,0,72.761864
2024-04-20 19:00:00,90,2.9,0,36.884281
2024-04-20 20:00:00,93,2.15,0,14.25551
2024-04-20 21:00:00,95,1.9,0,0
2024-04-20 22:00:00,96,1.65,0,0
2024-04-20 23:00:00,95,1.85,0,0
2024-04-21 00:00:00,96,1.7,0,0
2024-04-21 01:00:00,96,1.6,0,0
2024-04-21 02:00:00,96,1.05,0,0
2024-04-21 03:00:00,96,0.55000001,0,0
2024-04-21 04:00:00,96,-0.099999994,0,0
2024-04-21 05:00:00,97,-0.34999999,0,0
2024-04-21 06:00:00,97,0.099999994,0,10.20296
2024-04-21 07:00:00,97,0.84999999,0,91.025124
2024-04-21 08:00:00,84,2.9999999,0,268.5983
2024-04-21 09:00:00,72,4.9499998,0,401.05841
2024-04-21 10:00:00,69,6.4000001,0,521.00031
2024-04-21 11:00:00,60,7.55,0,630.10608
2024-04-21 12:00:00,48,8.1500001,0,700.33313
2024-04-21 13:00:00,45,9.25,0,701.66913
2024-04-21 14:00:00,36,9.8000002,0,675.57611
2024-04-21 15:00:00,37,10,0,610.59448
2024-04-21 16:00:00,38,10.05,0,510.68591
2024-04-21 17:00:00,39,9.8000002,0,400.86551
2024-04-21 18:00:00,53,8.45,0,279.08789
2024-04-21 19:00:00,59,6.8500001,0,31.650499
2024-04-21 20:00:00,69,5.7,0,2.295706
2024-04-21 21:00:00,72,4.6499999,0,0
2024-04-21 22:00:00,75,3.6499999,0,0
2024-04-21 23:00:00,76,2.75,0,0
2024-04-22 00:00:00,79,2.55,0,0
2024-04-22 01:00:00,72,2.2,0,0
2024-04-22 02:00:00,72,2.0000001,0,0
2024-04-22 03:00:00,65,2.5,0,0
2024-04-22 04:00:00,57,3.1,0,0
2024-04-22 05:00:00,52,3.6,0,0
2024-04-22 06:00:00,49,4.2,0,10.97365
2024-04-22 07:00:00,48,4.7,0,54.106602
2024-04-22 08:00:00,46,4.9000001,0,41.21825
2024-04-22 09:00:00,42,5.8,0,141.7411
2024-04-22 10:00:00,41,6.6500001,0,146.98869
2024-04-22 11:00:00,42,6.7,0,109.1253
2024-04-22 12:00:00,42,7,0,181.44321
2024-04-22 13:00:00,48,7.4000001,0,216.84061
2024-04-22 14:00:00,50,7.8499999,0,223.36369
2024-04-22 15:00:00,65,7.4499998,0,191.41859
2024-04-22 16:00:00,82,5.8999999,0,95.069832
2024-04-22 17:00:00,90,5.1000001,0,76.819519
2024-04-22 18:00:00,92,4.6000001,0,45.31316
2024-04-22 19:00:00,94,4.25,0,5.6953669
2024-04-22 20:00:00,91,3.8,0,0
2024-04-22 21:00:00,93,3.25,0,0
2024-04-22 22:00:00,94,2.9,0,0
2024-04-22 23:00:00,94,2.6999999,0,0
2024-04-23 00:00:00,93,2.4499999,0,0
2024-04-23 01:00:00,94,2.1999999,0,0
2024-04-23 02:00:00,93,1.6,0,0
2024-04-23 03:00:00,95,1.05,0,0
2024-04-23 04:00:00,95,1.1,0,0
2024-04-23 05:00:00,96,1.15,0,0
2024-04-23 06:00:00,95,1.3,0,0
2024-04-23 07:00:00,95,1,0,25.712219
2024-04-23 08:00:00,95,1.5,0,87.642052
2024-04-23 09:00:00,95,1.3,0,46.1091
2024-04-23 10:00:00,93,1.7,0,182.2263
2024-04-23 11:00:00,87,2.8000001,0,147.1774
2024-04-23 12:00:00,92,2.4,0,124.8614
2024-04-23 13:00:00,88,2.95,0,172.40961
2024-04-23 14:00:00,87,3.0999999,0,146.2764
2024-04-23 15:00:00,90,2.8,0,106.6535
2024-04-23 16:00:00,85,3.15,0,90.275993
2024-04-23 17:00:00,92,2.7,0,50.452431
2024-04-23 18:00:00,93,1.65,0,33.37532
2024-04-23 19:00:00,94,1.15,0,27.26693
2024-04-23 20:00:00,95,1.2,0,17.872999
2024-04-23 21:00:00,96,1.45,0,0
2024-04-23 22:00:00,94,1.65,0,0
2024-04-23 23:00:00,95,1.35,0,0
2024-04-24 00:00:00,96,1.1,0,0
2024-04-24 01:00:00,96,1.3,0,0
2024-04-24 02:00:00,96,1.35,0,0
2024-04-24 03:00:00,96,1.3,0,0
2024-04-24 04:00:00,96,1.1,0,0
2024-04-24 05:00:00,96,1.05,0,0
2024-04-24 06:00:00,94,0.95000002,0,0
2024-04-24 07:00:00,95,1.05,0,18.82485
2024-04-24 08:00:00,95,1.15,0,64.515739
2024-04-24 09:00:00,95,1.25,0,87.599731
2024-04-24 10:00:00,93,1.7,0,131.1293
2024-04-24 11:00:00,86,2.3,0,246.0412
2024-04-24 12:00:00,88,2.25,0,161.4716
2024-04-24 13:00:00,94,1.25,0,122.0781
2024-04-24 14:00:00,90,1.8,0,326.52991
2024-04-24 15:00:00,69,3.8,0,547.96539
2024-04-24 16:00:00,72,4.4,0,474.914
2024-04-24 17:00:00,67,4.8499999,0,448.22961
2024-04-24 18:00:00,79,4.3,0,217.6606
2024-04-24 19:00:00,86,3,0,48.533611
2024-04-24 20:00:00,85,2.2,0,6.5165129
2024-04-24 21:00:00,88,1.65,0,0
2024-04-24 22:00:00,86,1.6,0,0
2024-04-24 23:00:00,90,1.15,0,0
2024-04-25 00:00:00,89,0.99999997,0,0
2024-04-25 01:00:00,86,1,0,0
2024-04-25 02:00:00,81,0.84999998,0,0
2024-04-25 03:00:00,86,0.85000002,0,0
2024-04-25 04:00:00,90,0.099999994,0,0
2024-04-25 05:00:00,91,-0.45000001,0,0
2024-04-25 06:00:00,93,-0.3,0,36.734291
2024-04-25 07:00:00,88,0.90000001,0,127.4504
2024-04-25 08:00:00,74,2.4,0,214.89101
2024-04-25 09:00:00,61,4.15,0,427.2785
2024-04-25 10:00:00,52,5.6500001,0,546.77039
2024-04-25 11:00:00,54,6.6999998,0,637.38379
2024-04-25 12:00:00,52,7.3,0,444.69699
2024-04-25 13:00:00,45,7.5000002,0,319.67221
2024-04-25 14:00:00,47,8.3000002,0,420.08069
2024-04-25 15:00:00,50,8.5999999,0,515.19263
2024-04-25 16:00:00,49,8.6000001,0,519.12482
2024-04-25 17:00:00,52,8.0500002,0,377.3381
2024-04-25 18:00:00,59,7.1500001,0,239.2021
2024-04-25 19:00:00,63,6.1500001,0,54.639118
2024-04-25 20:00:00,78,4.95,0,37.172531
2024-04-25 21:00:00,80,3.45,0,0
2024-04-25 22:00:00,82,2.6,0,0
2024-04-25 23:00:00,83,2.0500001,0,0
2024-04-26 00:00:00,88,1.7,0,0
2024-04-26 01:00:00,90,1.2,0,0
2024-04-26 02:00:00,88,0.94999999,0,0
2024-04-26 03:00:00,88,0.80000001,0,0
2024-04-26 04:00:00,84,1.05,0,0
2024-04-26 05:00:00,80,1.4,0,0
2024-04-26 06:00:00,71,2.3,0,32.846111
2024-04-26 07:00:00,65,4.25,0,176.5741
2024-04-26 08:00:00,48,6.5,0,298.51379
2024-04-26 09:00:00,45,8.5000002,0,424.1217
2024-04-26 10:00:00,37,9.6500001,0,545.22803
2024-04-26 11:00:00,38,10.4,0,623.74341
2024-04-26 12:00:00,34,10.75,0,583.18988
2024-04-26 13:00:00,34,10.95,0,580.50909
